id,map,category,type,name,worldX,worldY,worldZ,mapX,mapY,levelMin,levelMax,palId,subtype,biome,sourceId,sourceIndex
"palpagos-alpha-pal-23--147370-364010","palpagos","bosses","alpha-pal","Wumpo Botan","-147370","364010","","449","-51","38","38","yeti_grass","","","","22"
"palpagos-alpha-pal-24--558870--619481","palpagos","bosses","alpha-pal","Dualith Noct","-558869.9","-619480.8","","-1694","-948","70","70","grassgolem_dark","","","","23"
"palpagos-alpha-pal-25--372950-104400","palpagos","bosses","alpha-pal","Univolt","-372950","104400","","-117","-543","31","31","kirin","","","","24"
"palpagos-alpha-pal-26--322820--93430","palpagos","bosses","alpha-pal","Reptyro","-322820","-93429.8","","-548","-433","50","50","volcanicmonster","","","","25"
"palpagos-alpha-pal-27--822824-16747","palpagos","bosses","alpha-pal","Dynamoff","-822824","16747","","-308","-1523","67","67","thunderfluffybird","","","","26"
"palpagos-alpha-pal-28--404768--444911","palpagos","bosses","alpha-pal","Prixter Lux","-404768.2","-444910.8","","-1314","-612","70","70","scorpionman_electric","","","","27"
"palpagos-alpha-pal-29--162481-233115","palpagos","bosses","alpha-pal","Elizabee","-162481.3","233115.2","","164","-84","39","39","queenbee","","","","28"
"palpagos-alpha-pal-30--431050-56141","palpagos","bosses","alpha-pal","Broncherry","-431050.4","56140.6","","-222","-669","23","23","sakurasaurus","","","","29"
"palpagos-alpha-pal-31--254060-178050","palpagos","bosses","alpha-pal","Elphidran","-254060","178050","","44","-284","30","30","fairydragon","","","","30"
"palpagos-alpha-pal-32--772213--273563","palpagos","bosses","alpha-pal","Gildane","-772213.2","-273563.5","","-940","-1412","63","63","goldenhorse","","","","31"
"palpagos-alpha-pal-33--167230-96430","palpagos","bosses","alpha-pal","Anubis","-167230","96430","","-134","-94","55","55","anubis","","","","32"
"palpagos-alpha-pal-34--412259-106238","palpagos","bosses","alpha-pal","Gumoss","-412259.3","106237.7","","-113","-628","11","11","plantslime","","","","33"
"palpagos-alpha-pal-35--550552--166886","palpagos","bosses","alpha-pal","Omascul","-550552.1","-166886.3","","-708","-930","60","60","mysterymask","","","","34"
"palpagos-alpha-pal-36--746847--10678","palpagos","bosses","alpha-pal","Slowatt","-746847.1","-10678","","-367","-1357","66","66","eleclizard","","","","35"
"palpagos-alpha-pal-37--593253--294035","palpagos","bosses","alpha-pal","Silvegis","-593253.1","-294034.6","","-985","-1023","62","62","whiteshielddragon","","","","36"
"palpagos-alpha-pal-38--236727-321310","palpagos","bosses","alpha-pal","Grintale","-236727.1","321310.1","","356","-246","17","17","naughtycat","","","","37"
"palpagos-alpha-pal-39--443861-183689","palpagos","bosses","alpha-pal","Grizzbolt","-443860.8","183689.4","","56","-697","30","30","elecpanda","","","","38"
"palpagos-alpha-pal-40--721639--432015","palpagos","bosses","alpha-pal","Cryolinx Terra","-721639","-432015","","-1285","-1302","62","62","whitetiger_ground","","","","39"
"palpagos-alpha-pal-41--773027--368266","palpagos","bosses","alpha-pal","Loupmoon Cryst","-773027.4","-368265.9","","-1147","-1414","66","66","werewolf_ice","","","","40"
"palpagos-alpha-pal-42--450359-356886","palpagos","bosses","alpha-pal","Needoll","-450359.5","356886.2","","433","-711","40","40","cactusdoll","","","","41"
"palpagos-alpha-pal-43-15844--130383","palpagos","bosses","alpha-pal","Lyleen Noct","15843.5","-130382.9","","-628","304","58","59","lilyqueen_dark","","","","42"
"palpagos-alpha-pal-44--717566--251787","palpagos","bosses","alpha-pal","Starryon","-717565.9","-251787.3","","-893","-1293","63","63","nightbluehorse","","","","43"
"palpagos-alpha-pal-45--174579--158214","palpagos","bosses","alpha-pal","Astegon","-174579","-158213.8","","-689","-110","55","55","blackmetaldragon","","","","44"
"palpagos-alpha-pal-46--516157--393151","palpagos","bosses","alpha-pal","Dazzi Noct","-516157","-393151.1","","-1201","-855","60","60","raijindaughter_water","","","","45"
"palpagos-alpha-pal-47--276069--180093","palpagos","bosses","alpha-pal","Blazamut","-276069.5","-180093","","-737","-332","52","52","kingbahamut","","","","46"
"palpagos-alpha-pal-48--239437-346","palpagos","bosses","alpha-pal","Tarantriss","-239436.6","345.7","","-343","-252","35","35","purplespider","","","","47"
"palpagos-alpha-pal-49--802420--112610","palpagos","bosses","alpha-pal","Ophydia","-802420","-112610","","-590","-1478","69","69","lotusdragon","","","","48"
"palpagos-alpha-pal-50--335225-180735","palpagos","bosses","alpha-pal","Kingpaca","-335225","180735","","50","-460","23","23","kingalpaca","","","","49"
"palpagos-alpha-pal-51-39325--18773","palpagos","bosses","alpha-pal","Kingpaca Cryst","39324.9","-18772.7","","-385","356","46","46","kingalpaca_ice","","","","50"
"palpagos-alpha-pal-52-50565-357758","palpagos","bosses","alpha-pal","Tetroise ","50564.8","357757.5","","435","380","55","55","cubeturtle","","","","51"
"palpagos-alpha-pal-53-187731-359897","palpagos","bosses","alpha-pal","Paladius","187731.2","359897.2","","440","679","60","60","saintcentaur","","","","52"
"palpagos-alpha-pal-54-90345-534008","palpagos","bosses","alpha-pal","Pierdon","90345.4","534007.8","","819","467","50","50","rockbeast","","","","53"
"palpagos-alpha-pal-55--333940-39610","palpagos","bosses","alpha-pal","Fenglope","-333940","39610","","-258","-458","25","25","fengyundeeper","","","","54"
"palpagos-alpha-pal-56--155950-31260","palpagos","bosses","alpha-pal","Nitewing","-155950","31260","","-276","-70","18","18","hawkbird","","","","55"
"palpagos-alpha-pal-57-109790--5880","palpagos","bosses","alpha-pal","Frostallion","109790","-5880","","-357","509","60","60","icehorse","","","","56"
"palpagos-alpha-pal-58--723783--230997","palpagos","bosses","alpha-pal","Kitsun Noct","-723782.7","-230996.7","","-847","-1307","65","65","amaterasuwolf_dark","","","","57"
"palpagos-alpha-pal-59--238811--110488","palpagos","bosses","alpha-pal","Knocklem","-238811","-110487.6","","-585","-250","55","55","winggolem","","","","58"
"palpagos-alpha-pal-60--889441--361294","palpagos","bosses","alpha-pal","Azurmane","-889441.3","-361294.3","","-1131","-1668","66","66","bluethunderhorse","","","","59"
"palpagos-alpha-pal-61--772844--11173","palpagos","bosses","alpha-pal","Snock","-772844","-11173","","-369","-1414","65","65","elecsnail","","","","60"
"palpagos-alpha-pal-62--315583-237117","palpagos","bosses","alpha-pal","Chillet","-315583.5","237117","","172","-418","11","11","weaseldragon","","","","61"
"palpagos-alpha-pal-63--396003-53772","palpagos","bosses","alpha-pal","Sweepa","-396003.1","53772.2","","-227","-593","11","11","mopking","","","","62"
"palpagos-alpha-pal-64--113198-201491","palpagos","bosses","alpha-pal","Beakon","-113197.7","201490.5","","95","23","37","37","thunderbird","","","","63"
"palpagos-alpha-pal-65--46108-302548","palpagos","bosses","alpha-pal","Dinossom Lux","-46108.4","302547.8","","315","169","47","47","flowerdinosaur_electric","","","","64"
"palpagos-bounty-target-1--18160--151400","palpagos","bosses","bounty-target","Urchin","-18160","-151400","","-674","230","0","0","","","","BOSS_Male_NinjaElite","0"
"palpagos-bounty-target-2-21850--8347","palpagos","bosses","bounty-target","Clint","21850.1","-8346.6","","-362","318","0","0","","","","BOSS_Male_Soldier03","1"
"palpagos-bounty-target-3--409430-24820","palpagos","bosses","bounty-target","Crash","-409430","24820","","-290","-622","0","0","","","","BOSS_Male_Soldier","2"
"palpagos-bounty-target-4--177380-9850","palpagos","bosses","bounty-target","Jade","-177380","9850","","-323","-117","19","19","","","","BOSS_Female_Soldier","3"
"palpagos-bounty-target-5-10216-153782","palpagos","bosses","bounty-target","Whisk","10215.9","153782.1","","-9","292","45","45","","","","BOSS_Scientist_LaserRifle","4"
"palpagos-bounty-target-6--584188--181662","palpagos","bosses","bounty-target","Feybreak Warrior","-584187.7","-181661.7","","-740","-1003","57","57","","","","Viking","5"
"palpagos-bounty-target-7--686537--380253","palpagos","bosses","bounty-target","Pinch","-686537.5","-380252.7","","-1173","-1226","0","0","","","","BOSS_Police_Old","6"
"palpagos-bounty-target-8--164164-152549","palpagos","bosses","bounty-target","Ego","-164164.2","152549.4","","-12","-88","0","0","","","","BOSS_Believer_CrossBow","7"
"palpagos-bounty-target-9--242340-36220","palpagos","bosses","bounty-target","Grill","-242340","36220","","-265","-258","20","20","","","","BOSS_Hunter_Fat_GatlingGun","8"
"palpagos-bounty-target-10--335675-148683","palpagos","bosses","bounty-target","Scoot","-335675.2","148683","","-20","-461","0","0","","","","BOSS_Male_People03","9"
"palpagos-bounty-target-11--470652--80708","palpagos","bosses","bounty-target","Flare","-470652","-80708.4","","-520","-755","0","0","","","","BOSS_Female_People","10"
"palpagos-bounty-target-12--538826--337668","palpagos","bosses","bounty-target","Billy","-538826.5","-337667.7","","-1080","-904","0","0","","","","Male_Trader03","11"
"palpagos-bounty-target-13-147119-347474","palpagos","bosses","bounty-target","Whisper","147119.1","347473.6","","413","590","0","0","","","","BOSS_Female_DesertPeople","12"
"palpagos-bounty-target-14--75788--82305","palpagos","bosses","bounty-target","Nimble","-75788.1","-82305","","-524","105","0","0","","","","BOSS_Female_Soldier04","13"
"palpagos-bounty-target-15--57544-116423","palpagos","bosses","bounty-target","Skim","-57544.4","116422.5","","-91","145","0","0","","","","Male_Trader01","14"
"palpagos-bounty-target-16--124754-318056","palpagos","bosses","bounty-target","Mite","-124753.9","318055.8","","349","-2","0","0","","","","BOSS_Male_People2","15"
"palpagos-bounty-target-17--126584-318233","palpagos","bosses","bounty-target","Dyna","-126584.2","318232.8","","349","-6","0","0","","","","BOSS_Male_People","16"
"palpagos-bounty-target-18--231660--113810","palpagos","bosses","bounty-target","Aloha","-231660","-113810","","-592","-235","0","0","","","","BOSS_Female_Soldier03","17"
"palpagos-bounty-target-19--331690--40407","palpagos","bosses","bounty-target","Shadow","-331690.2","-40407.4","","-432","-453","0","0","","","","BOSS_FireCult_FlameThrower","18"
"palpagos-bounty-target-20--304539-35742","palpagos","bosses","bounty-target","Siren","-304539.2","35742.3","","-266","-394","0","0","","","","BOSS_Female_People02","19"
"palpagos-bounty-target-21--300962-157211","palpagos","bosses","bounty-target","Turncoat","-300962.4","157210.7","","-2","-386","0","0","","","","BOSS_Female_People03","20"
"palpagos-bounty-target-22--712046--229953","palpagos","bosses","bounty-target","Dazzle","-712045.6","-229952.9","","-845","-1281","0","0","","","","BOSS_Female_Soldier02","21"
"palpagos-bounty-target-23-97108-68422","palpagos","bosses","bounty-target","Quill","97108","68422.4","","-195","481","0","0","","","","BOSS_Male_People02","22"
"palpagos-bounty-target-24-45910-304971","palpagos","bosses","bounty-target","Whip","45909.5","304971.4","","320","370","0","0","","","","BOSS_Police_Rifle","23"
"palpagos-bounty-target-25--79599-192658","palpagos","bosses","bounty-target","BOSS_Believer_Fat_GatlingGun","-79599.1","192658.3","","76","96","0","0","","","","BOSS_Believer_Fat_GatlingGun","24"
"palpagos-bounty-target-26--359202-181724","palpagos","bosses","bounty-target","Hawk","-359201.6","181724.3","","52","-513","0","0","","","","BOSS_Hunter_Rifle","25"
"palpagos-bounty-target-27--224118-277672","palpagos","bosses","bounty-target","Dart","-224118.3","277672.1","","261","-218","0","0","","","","BOSS_Male_Soldier02","26"
"palpagos-bounty-target-28--217111-127091","palpagos","bosses","bounty-target","Lasso","-217110.7","127090.6","","-67","-203","0","0","","","","BOSS_Male_Soldier04","27"
"palpagos-bounty-target-29--124624-232503","palpagos","bosses","bounty-target","Fumble","-124624","232502.7","","162","-2","0","0","","","","BOSS_Ninja","28"
"palpagos-bounty-target-30--666738--409956","palpagos","bosses","bounty-target","Ram","-666737.7","-409956.4","","-1237","-1183","0","0","","","","BOSS_DarkTrader","29"
"palpagos-bounty-target-31--62625-402439","palpagos","bosses","bounty-target","Phantom","-62624.9","402438.9","","533","133","0","0","","","","BOSS_Male_DesertPeople","30"
"palpagos-bounty-target-32--907334--389724","palpagos","bosses","bounty-target","Mimic","-907334.1","-389724.4","","-1193","-1707","0","0","","","","Male_Trader02","31"
"palpagos-bounty-target-33--805295--478475","palpagos","bosses","bounty-target","Cache","-805295.1","-478475.2","","-1387","-1485","58","58","","","","VikingElite","32"
"palpagos-sealed-realm-1--729821--338543","palpagos","bosses","sealed-realm","sealed-realm","-729820.7","-338542.9","","-1082","-1320","60","60","cubeturtle_neutral","DarkIsland_1","","","0"
"palpagos-sealed-realm-2--426576-90725","palpagos","bosses","sealed-realm","sealed-realm","-426576.2","90725","","-147","-659","23","23","berrygoat_dark","grass_7","","","1"
"palpagos-sealed-realm-3--119276-288895","palpagos","bosses","sealed-realm","sealed-realm","-119276.3","288895","","285","10","35","35","grassrabbitman","forest_3","","","2"
"palpagos-sealed-realm-4--147096-217415","palpagos","bosses","sealed-realm","sealed-realm","-147096.3","217415","","129","-51","35","35","mutant","forest_4","","","3"
"palpagos-sealed-realm-5--92056-273645","palpagos","bosses","sealed-realm","sealed-realm","-92056.3","273645","","252","69","40","40","whitemoth","forest_5","","","4"
"palpagos-sealed-realm-6--589311--265966","palpagos","bosses","sealed-realm","sealed-realm","-589311","-265966.2","","-924","-1014","60","60","ghostrabbit","DarkIsland_4","","","5"
"palpagos-sealed-realm-7--183926-40635","palpagos","bosses","sealed-realm","sealed-realm","-183926.3","40635","","-256","-131","30","30","manticore","grass_3","","","6"
"palpagos-sealed-realm-8--797333--245282","palpagos","bosses","sealed-realm","sealed-realm","-797333.1","-245281.6","","-879","-1467","60","60","blackpuppy","DarkIsland_2","","","7"
"palpagos-sealed-realm-9--149206--30685","palpagos","bosses","sealed-realm","sealed-realm","-149206.3","-30685","","-411","-55","15","15","kitsunebi_ice","grass_5","","","8"
"palpagos-sealed-realm-10--285146-210255","palpagos","bosses","sealed-realm","sealed-realm","-285146.2","210255","","114","-351","15","15","captainpenguin","grass_1","","","9"
"palpagos-sealed-realm-11--348876-104455","palpagos","bosses","sealed-realm","sealed-realm","-348876.2","104455","","-117","-490","15","15","flamebuffalo","grass_2","","","10"
"palpagos-sealed-realm-12--773254-51457","palpagos","bosses","sealed-realm","sealed-realm","-773254.1","51456.8","","-232","-1415","66","66","moonchild","SkyIsland_01","","","11"
"palpagos-sealed-realm-13--276496-268895","palpagos","bosses","sealed-realm","sealed-realm","-276496.2","268895","","242","-332","15","15","icefox","grass_6","","","12"
"palpagos-sealed-realm-14--226356-231715","palpagos","bosses","sealed-realm","sealed-realm","-226356.3","231715","","161","-223","28","28","foxmage","forest_1","","","13"
"palpagos-sealed-realm-15--283056-64595","palpagos","bosses","sealed-realm","sealed-realm","-283056.2","64595","","-203","-347","25","25","ronin","grass_4","","","14"
"palpagos-sealed-realm-16--245866-149205","palpagos","bosses","sealed-realm","sealed-realm","-245866.3","149205","","-19","-266","27","27","violetfairy","forest_2","","","15"
"palpagos-sealed-realm-17--567697--464498","palpagos","bosses","sealed-realm","sealed-realm","-567696.9","-464498.1","","-1356","-967","63","63","blueberryfairy","DarkIsland_3","","","16"
"palpagos-sealed-realm-18-173646-222898","palpagos","bosses","sealed-realm","sealed-realm","173645.9","222898","","141","648","60","60","poseidonorca","SmallIsland03","","","17"
"palpagos-element-chest-1--251179--102526","palpagos","collectibles","element-chest","Element Chest","-251178.7","-102526.4","","-568","-277","","","","","","","0"
"palpagos-element-chest-2--278264--50156","palpagos","collectibles","element-chest","Element Chest","-278264.4","-50155.9","","-453","-336","","","","","","","1"
"palpagos-element-chest-3--277779--159527","palpagos","collectibles","element-chest","Element Chest","-277778.6","-159526.8","","-692","-335","","","","","","","2"
"palpagos-element-chest-4--325964-349762","palpagos","collectibles","element-chest","Element Chest","-325964.2","349761.8","","418","-440","","","","","","","3"
"palpagos-element-chest-5--334903--86223","palpagos","collectibles","element-chest","Element Chest","-334902.6","-86222.6","","-532","-460","","","","","","","4"
"palpagos-element-chest-6--357617--198226","palpagos","collectibles","element-chest","Element Chest","-357616.7","-198226.3","","-776","-509","","","","","","","5"
"palpagos-element-chest-7--347696-338455","palpagos","collectibles","element-chest","Element Chest","-347695.8","338454.5","","393","-488","","","","","","","6"
"palpagos-element-chest-8--340378-346422","palpagos","collectibles","element-chest","Element Chest","-340377.9","346421.9","","411","-472","","","","","","","7"
"palpagos-element-chest-9--333499-340820","palpagos","collectibles","element-chest","Element Chest","-333499.3","340819.9","","398","-457","","","","","","","8"
"palpagos-element-chest-10--339375-337426","palpagos","collectibles","element-chest","Element Chest","-339375.4","337426.2","","391","-469","","","","","","","9"
"palpagos-element-chest-11--397759--429951","palpagos","collectibles","element-chest","Element Chest","-397759.1","-429950.7","","-1281","-597","","","","","","","10"
"palpagos-element-chest-12--403707--24209","palpagos","collectibles","element-chest","Element Chest","-403707","-24209.5","","-397","-610","","","","","","","11"
"palpagos-element-chest-13--411757--431231","palpagos","collectibles","element-chest","Element Chest","-411756.6","-431230.6","","-1284","-627","","","","","","","12"
"palpagos-element-chest-14--411544--175655","palpagos","collectibles","element-chest","Element Chest","-411544.4","-175655.4","","-727","-627","","","","","","","13"
"palpagos-element-chest-15--439292--61185","palpagos","collectibles","element-chest","Element Chest","-439291.7","-61185.2","","-478","-687","","","","","","","14"
"palpagos-element-chest-16--442133-348747","palpagos","collectibles","element-chest","Element Chest","-442132.7","348746.7","","416","-693","","","","","","","15"
"palpagos-element-chest-17--448732-363903","palpagos","collectibles","element-chest","Element Chest","-448731.7","363902.7","","449","-708","","","","","","","16"
"palpagos-element-chest-18--463063-360075","palpagos","collectibles","element-chest","Element Chest","-463063.1","360075.4","","440","-739","","","","","","","17"
"palpagos-element-chest-19--24424--47174","palpagos","collectibles","element-chest","Element Chest","-24423.6","-47174","","-447","217","","","","","","","18"
"palpagos-element-chest-20--2398--86120","palpagos","collectibles","element-chest","Element Chest","-2397.7","-86119.9","","-532","265","","","","","","","19"
"palpagos-element-chest-21--5103-119064","palpagos","collectibles","element-chest","Element Chest","-5103.3","119064.4","","-85","259","","","","","","","20"
"palpagos-element-chest-22--24911-160188","palpagos","collectibles","element-chest","Element Chest","-24911","160187.6","","5","216","","","","","","","21"
"palpagos-element-chest-23--505776--244394","palpagos","collectibles","element-chest","Element Chest","-505776.1","-244394","","-877","-832","","","","","","","22"
"palpagos-element-chest-24--504651--393915","palpagos","collectibles","element-chest","Element Chest","-504650.8","-393914.9","","-1202","-830","","","","","","","23"
"palpagos-element-chest-25--503339--40608","palpagos","collectibles","element-chest","Element Chest","-503339.4","-40608","","-433","-827","","","","","","","24"
"palpagos-element-chest-26--495745--44055","palpagos","collectibles","element-chest","Element Chest","-495744.8","-44054.6","","-440","-810","","","","","","","25"
"palpagos-element-chest-27--497520--33549","palpagos","collectibles","element-chest","Element Chest","-497520.2","-33549.1","","-417","-814","","","","","","","26"
"palpagos-element-chest-28--507768--39533","palpagos","collectibles","element-chest","Element Chest","-507767.8","-39533.3","","-430","-836","","","","","","","27"
"palpagos-element-chest-29--554169--283428","palpagos","collectibles","element-chest","Element Chest","-554168.7","-283427.7","","-962","-937","","","","","","","28"
"palpagos-element-chest-30--552182--632307","palpagos","collectibles","element-chest","Element Chest","-552181.6","-632307.3","","-1722","-933","","","","","","","29"
"palpagos-element-chest-31--558517--616781","palpagos","collectibles","element-chest","Element Chest","-558517","-616780.7","","-1688","-947","","","","","","","30"
"palpagos-element-chest-32--562077-122182","palpagos","collectibles","element-chest","Element Chest","-562076.9","122181.8","","-78","-955","","","","","","","31"
"palpagos-element-chest-33--579490--363576","palpagos","collectibles","element-chest","Element Chest","-579490","-363576.1","","-1136","-993","","","","","","","32"
"palpagos-element-chest-34--573665--156072","palpagos","collectibles","element-chest","Element Chest","-573664.9","-156072","","-684","-980","","","","","","","33"
"palpagos-element-chest-35--567162--194989","palpagos","collectibles","element-chest","Element Chest","-567162.4","-194988.8","","-769","-966","","","","","","","34"
"palpagos-element-chest-36--572145-116918","palpagos","collectibles","element-chest","Element Chest","-572145.2","116918","","-90","-977","","","","","","","35"
"palpagos-element-chest-37--566388-129230","palpagos","collectibles","element-chest","Element Chest","-566387.7","129229.9","","-63","-964","","","","","","","36"
"palpagos-element-chest-38--592986--241169","palpagos","collectibles","element-chest","Element Chest","-592986.3","-241169.4","","-870","-1022","","","","","","","37"
"palpagos-element-chest-39--612523--482405","palpagos","collectibles","element-chest","Element Chest","-612522.6","-482405","","-1395","-1065","","","","","","","38"
"palpagos-element-chest-40--638230--260468","palpagos","collectibles","element-chest","Element Chest","-638229.6","-260468.1","","-912","-1121","","","","","","","39"
"palpagos-element-chest-41--636476--427078","palpagos","collectibles","element-chest","Element Chest","-636475.7","-427077.9","","-1275","-1117","","","","","","","40"
"palpagos-element-chest-42--631391--167261","palpagos","collectibles","element-chest","Element Chest","-631391.4","-167261.1","","-709","-1106","","","","","","","41"
"palpagos-element-chest-43--636866--225863","palpagos","collectibles","element-chest","Element Chest","-636865.8","-225862.7","","-836","-1118","","","","","","","42"
"palpagos-element-chest-44--669983--216362","palpagos","collectibles","element-chest","Element Chest","-669982.9","-216362.2","","-816","-1190","","","","","","","43"
"palpagos-element-chest-45--711424--335952","palpagos","collectibles","element-chest","Element Chest","-711423.8","-335951.7","","-1076","-1280","","","","","","","44"
"palpagos-element-chest-46--700183--377849","palpagos","collectibles","element-chest","Element Chest","-700182.6","-377848.9","","-1167","-1256","","","","","","","45"
"palpagos-element-chest-47--727955--294285","palpagos","collectibles","element-chest","Element Chest","-727954.6","-294285.2","","-985","-1316","","","","","","","46"
"palpagos-element-chest-48--729167--434412","palpagos","collectibles","element-chest","Element Chest","-729166.8","-434412.4","","-1291","-1319","","","","","","","47"
"palpagos-element-chest-49--738080--100830","palpagos","collectibles","element-chest","Element Chest","-738080","-100830","","-564","-1338","","","","","","","48"
"palpagos-element-chest-50--736034--206663","palpagos","collectibles","element-chest","Element Chest","-736034.4","-206663.4","","-794","-1334","","","","","","","49"
"palpagos-element-chest-51--49464--77320","palpagos","collectibles","element-chest","Element Chest","-49464.5","-77320","","-513","162","","","","","","","50"
"palpagos-element-chest-52--30364--115782","palpagos","collectibles","element-chest","Element Chest","-30364.2","-115782.5","","-596","204","","","","","","","51"
"palpagos-element-chest-53--47386--172058","palpagos","collectibles","element-chest","Element Chest","-47385.6","-172057.7","","-719","167","","","","","","","52"
"palpagos-element-chest-54--43539-420109","palpagos","collectibles","element-chest","Element Chest","-43539.3","420109.2","","571","175","","","","","","","53"
"palpagos-element-chest-55--26654-69389","palpagos","collectibles","element-chest","Element Chest","-26654.1","69388.8","","-193","212","","","","","","","54"
"palpagos-element-chest-56--756382--361857","palpagos","collectibles","element-chest","Element Chest","-756381.7","-361856.7","","-1133","-1378","","","","","","","55"
"palpagos-element-chest-57--759600--397200","palpagos","collectibles","element-chest","Element Chest","-759600.5","-397200.2","","-1210","-1385","","","","","","","56"
"palpagos-element-chest-58--748903-14248","palpagos","collectibles","element-chest","Element Chest","-748903","14248.1","","-313","-1362","","","","","","","57"
"palpagos-element-chest-59--774759--241175","palpagos","collectibles","element-chest","Element Chest","-774758.6","-241174.8","","-870","-1418","","","","","","","58"
"palpagos-element-chest-60--792463--307021","palpagos","collectibles","element-chest","Element Chest","-792462.7","-307021.5","","-1013","-1457","","","","","","","59"
"palpagos-element-chest-61--782429--342709","palpagos","collectibles","element-chest","Element Chest","-782429","-342709.3","","-1091","-1435","","","","","","","60"
"palpagos-element-chest-62--792751--455724","palpagos","collectibles","element-chest","Element Chest","-792750.6","-455723.7","","-1337","-1457","","","","","","","61"
"palpagos-element-chest-63--788905--37665","palpagos","collectibles","element-chest","Element Chest","-788905","-37665","","-426","-1449","","","","","","","62"
"palpagos-element-chest-64--773220-13950","palpagos","collectibles","element-chest","Element Chest","-773220","13950","","-314","-1415","","","","","","","63"
"palpagos-element-chest-65--803285--9085","palpagos","collectibles","element-chest","Element Chest","-803285","-9085","","-364","-1480","","","","","","","64"
"palpagos-element-chest-66--798105--89865","palpagos","collectibles","element-chest","Element Chest","-798105","-89865","","-540","-1469","","","","","","","65"
"palpagos-element-chest-67--823760--28485","palpagos","collectibles","element-chest","Element Chest","-823760","-28485","","-406","-1525","","","","","","","66"
"palpagos-element-chest-68--821140-56950","palpagos","collectibles","element-chest","Element Chest","-821140","56950","","-220","-1519","","","","","","","67"
"palpagos-element-chest-69--867757--362389","palpagos","collectibles","element-chest","Element Chest","-867756.9","-362389.5","","-1134","-1621","","","","","","","68"
